artista,resumen,popularidad,reproducciones,similares
Peter Bjorn and John,"Peter Bjorn and John were formed in Stockholm, Sweden in 1999. Made up of members Peter Morén on vocals, guitar, and harmonica; Björn Yttling on vocals, bass, and keyboards; and John Eriksson on drums, percussion, and vocals. The band has released six albums: ""Peter Bjorn and John"" (2002), ""Falling Out"" (2004), ""Writer's Block"" (2006), ""Seaside Rock"" (2008), ""Living Thing"" (2009) and ""Gimme Some"" (2011). The band is influenced by the sounds of classic '60s baroque pop, power pop, and new wave <a href=""https://www.last.fm/music/Peter+Bjorn+and+John"">Read more on Last.fm</a>",1812635,30646764,"['Generationals', 'Ra Ra Riot', 'Clap Your Hands Say Yeah', 'Shout Out Louds', 'Miike Snow']"
Deftones,"Deftones is an American  alternative metal band from Sacramento, California, formed in 1988, consisting of Chino Moreno (lead vocals and guitar), Stephen Carpenter (guitar), Frank Delgado (keyboards and turntables), and Abe Cunningham (drums and percussion). Vega (formerly of Quicksand) took on bass duties from mid-2009 to ca. 2021 in substitution for Chi Cheng, who was seriously injured in an automobile accident in Santa Clara, California on November 4, 2008. <a href=""https://www.last.fm/music/Deftones"">Read more on Last.fm</a>",3340791,366005731,"['Team Sleep', 'Korn', 'Superheaven', 'Fleshwater', '✝✝✝ (Crosses)']"
Ray Charles,"Ray Charles (Ray Charles Robinson,  Albany, Georgia, September 23, 1930 - Beverly Hills, California, June 10, 2004), was an American singer-songwriter, musician, arranger, and band leader. 

As a rock and roll, rhythm & blues, soul, blues, jazz, country and pop musician he helped to shape the sound of rhythm & blues.

He brought a soulful sound to everything from country music (""I Can't Stop Loving You"") to rock and roll (""Mess Around""), to pop standards to a now-iconic rendition of ""America the Beautiful. <a href=""https://www.last.fm/music/Ray+Charles"">Read more on Last.fm</a>",2403972,35978581,"['Aretha Franklin', 'Otis Redding', 'Louis Armstrong', 'Sam Cooke', 'Nina Simone']"
Joyce Cooling,"Songwriter, guitarist, and smooth jazz songstress who can take ordinary ballads and elevate them in intensity, or sublime 'cool', Joyce Cooling is an artist who redefines the smooth in 'smooth jazz'.

Official website: www.joycecooling.com <a href=""https://www.last.fm/music/Joyce+Cooling"">Read more on Last.fm</a>",93488,899181,"['Paul Brown', 'Ken Navarro', 'Gregg Karukas', 'Chuck Loeb', 'Norman Brown']"
RADWIMPS,"Radwimps is a Japanese rock band that formed in their first year of highschool in 2001 in Kanagawa, Japan. They play an eccentric mix of rock, punk, funk and jazz. The band achieved great commercial success in 2006 with their album Radwimps 4: Okazu no Gohan, and are best known for their later singles ""Order Made"" (2008) and ""Dada"" (2011), both of which hit number one on Oricon's single charts.

The five original members had been friends since middle school. <a href=""https://www.last.fm/music/RADWIMPS"">Read more on Last.fm</a>",529372,29297549,"['BUMP OF CHICKEN', 'back number', 'Mrs. GREEN APPLE', 'ヨルシカ', 'Yorushika']"
Silje Nergaard,"Silje Nergaard (born June 19, 1966 in Steinkjer, Norway) is a Norwegian pop and jazz vocalist based in Oslo. While her music early in her career (e.g. Si det, si det from 1985) may have had a distinct pop feel, she has since moved on, and virtually all of her later releases consist of jazz-oriented tunes. 

Nergaard's musical journey began early. At age 16, she stepped on stage joining a jam session at Moldejazz, Norway’s international jazz festival <a href=""https://www.last.fm/music/Silje+Nergaard"">Read more on Last.fm</a>",190786,1956302,"['Inger Marie Gundersen', 'Rebekka Bakken', 'Solveig Slettahjell', 'Stacey Kent', 'Laura Fygi']"
Edesio Alejandro," <a href=""https://www.last.fm/music/Edesio+Alejandro"">Read more on Last.fm</a>",340,1650,"['Armonica', 'Makèz', 'Filta Freqz', 'Sem Jacobs', 'Mattei & Omich']"
Nochnye Snaipery,"Russian rock group, founded in 1993 by Diana Arbenina and Svetlana Surganova. <a href=""https://www.last.fm/music/+noredirect/Nochnye+Snaipery"">Read more on Last.fm</a>",10033,121330,[]
João Donato,"João Donato, born João Donato de Oliveira Neto (17 August 1934 in Rio Branco, Acre, Brazil – 17 July 2023 in Rio de Janeiro, Brazil) was a Brazilian jazz and bossa nova pianist, composer and a multi-instrumentalist. João was a celebrated musician and iconic among his peers. 

Along the piano, he also played accordion, was an arranger and a singer. In his music, he blended additional rhythms such as baião and forro as well as incorporated Caribbean rhythms after living in the US in the 1950s. <a href=""https://www.last.fm/music/+noredirect/Jo%C3%A3o+Donato"">Read more on Last.fm</a>",282578,2683102,"['Roberto Menescal E Seu Conjunto', 'Marcos Valle', 'Edu Lobo', 'João Gilberto', 'Tamba 4']"
Peanut Butter Wolf," As a young kid growing up in San Jose, Chris Manak soon realized he needed an escape from the realities of suburban life in the Silicon Valley. The age of nine was his coming of age. This was the year he discovered sports (Pittsburgh Pirates), video games (Pac man), girls (Anita Balderama), and hip hop (""Rappers Delight""). Alongside partner Sweet Steve, young Chris fashioned primitive mix-tapes (using the pause button) and ran amok at the local roller rink. <a href=""https://www.last.fm/music/Peanut+Butter+Wolf"">Read more on Last.fm</a>",152257,1384778,"['DJ Babu', 'Charizma & Peanut Butter Wolf', 'J Rocc', 'J. Rawls', 'Kankick']"
Sonny Clark,"Conrad Yeatis ""Sonny"" Clark (July 21, 1931 – January 13, 1963) was an American jazz pianist who mainly worked in the hard bop idiom.

Clark was born and raised in Herminie, Pennsylvania, a coal mining town southeast of Pittsburgh. At age 12, he moved to Pittsburgh. When visiting an aunt in California at age 20, Clark decided to stay and began working with saxophonist Wardell Gray. Clark went to San Francisco with Oscar Pettiford and after a couple months, was working with clarinetist Buddy DeFranco in 1953. <a href=""https://www.last.fm/music/Sonny+Clark"">Read more on Last.fm</a>",252809,1516794,"['Hank Mobley', 'Lee Morgan', 'Dexter Gordon', 'Kenny Dorham', 'Freddie Hubbard']"
Arrested Development,"Arrested Development is an Afrocentric Hip-Hop group, founded by Speech and Headliner as a positive, alternative to the gangsta rap popular in the early 1990s.

It took the group three years, five months and two days to be offered a record deal. Hence the name of the first album was 3 Years, 5 Months & 2 Days in the Life Of..., which produced several hit tracks. These included ""Tennessee"", ""People Everyday"", and ""Mr. Wendal"", which hit the top ten. <a href=""https://www.last.fm/music/Arrested+Development"">Read more on Last.fm</a>",425179,3800908,"['Naughty By Nature', 'P.M. Dawn', 'Black Sheep', 'Digital Underground', 'The Pharcyde']"
Eyeceeou,"Eyeceeou (ICO) is an underground rap maestro from Maribor, Slovenia, the second most populous city in the park. Eyeceeou was born as Iztok Šumatić in 1976,  thrown into a pond and later miraculously re-delivered by Drava. His debut and eleventh album, called ""Samo bedak in sila"" was released in 2006. Since then, he is one of the Maribor's most known and respected rappers. His lyrics are mostly about life experiences and unexpected situations, as well as about society and politics, most of them written with a homourous spirit. <a href=""https://www.last.fm/music/Eyeceeou"">Read more on Last.fm</a>",281,8428,"['Tekochee Kru', 'ALI EN', 'Valterap', 'Klemen Klemen', 'Samo Boris']"
Ska-P,"Ska-P is a Spanish ska punk group formed in Vallecas (a neighborhood of Madrid, Spain) in 1994. Most of their songs feature an infectious and energic vibe and feature lyrics about non-conformity, criticism of capitalism and racism, and their defense of equal justice, plus taking part in various multicultural, alternative and anti-globalization festivals. Their song ""Cannabis"", supporting and defending the legalization of said substance, launched them to certain popularity in Spain and parts of Mexico and South America. <a href=""https://www.last.fm/music/Ska-P"">Read more on Last.fm</a>",412497,17282912,"['The Locos', 'Skalariak', 'Boikot', 'Talco', 'Panteón Rococó']"
Ja Rule,"Jeffrey Atkins (born February 29, 1976 in Queens, New York), better known by his stage name Ja Rule, is an American rapper, singer and actor signed to his own label Mpire Records. He began his career in the group Cash Money Click and released his debut solo album, Venni Vetti Vecci, in 1999. He has since released 2000's Rule 3:36, 2001's Pain Is Love, 2002's The Last Temptation, 2003's Blood in My Eye and 2004's R.U.L.E. He now plans to release his seventh studio album, Venni Vetti Vecci 2010, sometime later this year. <a href=""https://www.last.fm/music/Ja+Rule"">Read more on Last.fm</a>",1120054,9168258,"['Nelly', 'Fat Joe', 'Bow Wow', 'Chingy', 'Fabolous']"
The Limp Twins,"The Limp Twins are Will Holland (a.k.a quantic) and Russell Porter, who created their album tales from beyond the groove (TRUCD057, 2003) in their bedrooms (according to the cd cover). The record is a funky offering somewhere in between the sound of Will Holland's other projects, quantic and the quantic soul orchestra, but is definately more laid back. 

For more information on this project, check out quantic's website: about The Limp Twins. <a href=""https://www.last.fm/music/The+Limp+Twins"">Read more on Last.fm</a>",129330,937182,"['Soopasoul', 'Basement Freaks', 'Belleruche', 'Natural Self', 'Smoove & Turrell']"
Die Firma,"There are at least two (German) groups called Die Firma:
1. A German hip-hop group formed in 1996.
2. A former DDR underground punkband featuring notable members as Christoph Schneider and Paul Landers who are now both in Rammstein.

1.
Daniel Sluga a.k.a. Fader Gladiator betrieb zuvor das Label Blitz Vinyl, auf dem auch Ben Hartung a.k.a. Def Benski Obiwahn (als Teil des ÄI-TIEM) veröffentlichte. Er war zudem mit seiner Crew C.U.S. in einschlägigen Kreisen bekannt. <a href=""https://www.last.fm/music/Die+Firma"">Read more on Last.fm</a>",102568,1125626,"['Ferris MC', 'Samy Deluxe', 'Dynamite Deluxe', 'Massive Töne', 'Die Fantastischen Vier']"
Carrie Underwood,"Carrie Marie Underwood (born March 10, 1983) is an American singer who rose to prominence after winning the fourth season of American Idol in 2005. Underwood's single ""Inside Your Heaven"" made her the only country artist to debut atop the Billboard Hot 100 chart and the only solo country artist in the 2000s to have a number-one song on the Hot 100. Her debut album, Some Hearts (2005), was bolstered by the successful crossover singles ""Jesus, Take the Wheel"" and ""Before He Cheats"" <a href=""https://www.last.fm/music/Carrie+Underwood"">Read more on Last.fm</a>",1593070,31170307,"['Miranda Lambert', 'Kelsea Ballerini', 'Carly Pearce', 'Maddie & Tae', 'Sugarland']"
World Renown,"World Renown are a hip hop duo from Queensbridge, New York. Duo consisting of Seven Shawn (Cousin of K-Def) and John Doe (Cousin of Marley Marl). Their 1995 album ""World Renown"" got shelved by Warner Brothers, even though it received a 3.5 mics review in The Source. The album is said to be reissued some time in 2009. <a href=""https://www.last.fm/music/World+Renown"">Read more on Last.fm</a>",11135,54270,"['Ill Biskits', 'Pudgee', 'Street Smartz', 'Jemini The Gifted One', 'The B.U.M.S.']"
MF DOOM,"Daniel Dumile (January 9, 1971 – October 31, 2020) was a British-American rapper, songwriter, and record producer. He performed and released music under a variety of stage names, most notably MF DOOM, which Dumile preferred to be stylized in all caps. Dumile debuted during hip-hop's golden age of the late 1980s and became a major figure in underground hip-hop of the early 21st century. He is widely considered one of the greatest rappers of all time. <a href=""https://www.last.fm/music/MF+DOOM"">Read more on Last.fm</a>",1877406,125055039,"['King Geedorah', 'Madvillain', 'Viktor Vaughn', 'DANGERDOOM', 'KMD']"
Kchiporros,"Kchiporros es una banda originaria de Paraguay, nació en el 2006 en Asunción, en el mismo año lanzaron su primer EP, el cual los colocó rápidamente entre las más escuchadas a nivel nacional. <a href=""https://www.last.fm/music/Kchiporros"">Read more on Last.fm</a>",9517,242811,"['La De Roberto', 'Los Verduleros', 'LaNuestra', 'Bohemia Urbana', 'Pipa para Tabaco']"
Cecil Otter,"Cecil Otter is a compelling musician for the same reasons he’s good with cards. The technique runs on charm, patience, intuition, and precision.

Cecil is one of the founding members of Doomtree. As an emcee he’s admired for his lyric, cinematic style. He writes about love, vengeance, and redemption—and the spaces where the three convene. His narratives ride on his imagery: sepia flickers of loners, beauties, ghosts, and vagabonds.

As a producer, his sound is nostalgic. <a href=""https://www.last.fm/music/Cecil+Otter"">Read more on Last.fm</a>",56739,807480,"['Doomtree', 'Sims', 'Heiruspecs', 'Sadistik', 'Dessa']"
